Timestamp,Flow_Rate_LPM,Avg_Pressure_PSI,Occupancy_Status
2026-06-01 00:00,17.2,49.8,After_Hours
2026-06-01 01:00,17.4,49.6,After_Hours
2026-06-01 02:00,17.7,49.5,After_Hours
2026-06-01 03:00,17.9,49.3,After_Hours
2026-06-01 04:00,18.1,49.2,After_Hours
2026-06-01 05:00,18.4,49.0,After_Hours
2026-06-01 06:00,18.8,48.8,After_Hours
2026-06-01 07:00,19.2,48.6,Class_Hours
2026-06-01 08:00,19.7,48.4,Class_Hours
2026-06-01 09:00,20.1,48.2,Class_Hours
2026-06-01 10:00,20.5,48.0,Class_Hours
2026-06-01 11:00,20.8,47.8,Class_Hours
2026-06-01 12:00,21.0,47.5,Class_Hours
2026-06-01 13:00,21.3,47.2,Class_Hours
2026-06-01 14:00,21.6,46.9,Class_Hours
2026-06-01 15:00,21.8,46.7,Class_Hours
2026-06-01 16:00,22.0,46.5,Class_Hours
2026-06-01 17:00,22.2,46.3,Class_Hours
2026-06-01 18:00,22.4,46.1,After_Hours
2026-06-01 19:00,22.6,45.9,After_Hours
2026-06-01 20:00,22.8,45.7,After_Hours
2026-06-01 21:00,23.0,45.5,After_Hours
2026-06-01 22:00,23.2,45.3,After_Hours
2026-06-01 23:00,23.5,45.1,After_Hours
